avg_reward,std_reward,kl,entropy,policy_loss,value_loss,prompt_words,gen_words
8.0,0.0,0.0,0.0,0.0,0.0,87,89
7.0,0.0,0.0,0.0,0.0,0.0,168,167
8.0,0.0,0.0,0.0,0.0,0.0,249,200
2.0,0.0,0.0,0.0,0.0,0.0,301,250
2.0,0.0,0.0,0.0,0.0,0.0,387,304
1.0,0.0,0.0,0.0,0.0,0.0,461,392
9.0,0.0,0.0,0.0,0.0,0.0,536,449
3.0,0.0,0.0,0.0,0.0,0.0,600,527
7.0,0.0,0.0,0.0,0.0,0.0,701,581
4.0,0.0,0.0,0.0,0.0,0.0,759,653
2.0,0.0,0.0,0.0,0.0,0.0,819,719
3.0,0.0,0.0,0.0,0.0,0.0,885,812
1.0,0.0,0.0,0.0,0.0,0.0,959,870
1.0,0.0,0.0,0.0,0.0,0.0,1037,909
6.0,0.0,0.0,0.0,0.0,0.0,1097,972
4.0,0.0,0.0,0.0,0.0,0.0,1170,1015
9.0,0.0,0.0,0.0,0.0,0.0,1280,1047
3.0,0.0,0.0,0.0,0.0,0.0,1368,1088
9.0,0.0,0.0,0.0,0.0,0.0,1427,1169
3.0,0.0,0.0,0.0,0.0,0.0,1516,1207
9.0,0.0,0.0,0.0,0.0,0.0,1611,1281
6.0,0.0,0.0,0.0,0.0,0.0,1670,1346
8.0,0.0,0.0,0.0,0.0,0.0,1724,1421
9.0,0.0,0.0,0.0,0.0,0.0,1798,1500
7.0,0.0,0.0,0.0,0.0,0.0,1860,1549
1.0,0.0,0.0,0.0,0.0,0.0,1921,1619
2.0,0.0,0.0,0.0,0.0,0.0,1981,1704
